Wifes-age,Wifes-education,Husbands-education,Number-of-children-ever-born,Wifes-religion,Wifes-now-working?,Husbands-occupation,Standard-of-living-index,Media-exposure,Contraceptive-method-used
early40s,very-high,very-high,six-to-eight,Islam,not-working,low-paid,3,Good,Long-term
early40s,very-high,very-high,six-to-eight,Islam,not-working,low-paid,3,Good,Long-term
mid20s,very-high,very-high,one-to-two,Islam,working,medium-paid,3,Good,Long-term
early40s,very-high,very-high,three-to-five,Islam,working,medium-paid,3,Good,Long-term
mid40s,very-high,very-high,three-to-five,Islam,working,medium-paid,3,Good,Long-term
late40s,high,very-high,above-ten,Islam,working,medium-paid,3,Good,Long-term
mid20s,very-high,very-high,one-to-two,Non-Islam,not-working,medium-paid,3,Good,Long-term
mid30s,high,very-high,one-to-two,Non-Islam,not-working,medium-paid,3,Good,Long-term
late20s,high,very-high,one-to-two,Non-Islam,not-working,medium-paid,3,Good,Long-term
early40s,medium,very-high,three-to-five,Non-Islam,not-working,medium-paid,3,Good,Long-term
late30s,high,very-high,six-to-eight,Non-Islam,not-working,medium-paid,3,Good,Long-term
below20,very-high,very-high,one-to-two,Islam,not-working,medium-paid,3,Good,Long-term
early30s,high,high,one-to-two,Islam,not-working,medium-paid,3,Good,Long-term
early30s,medium,medium,three-to-five,Islam,not-working,medium-paid,3,Good,Long-term
mid20s,high,very-high,three-to-five,Islam,not-working,medium-paid,3,Good,Long-term
mid20s,high,very-high,three-to-five,Islam,not-working,medium-paid,3,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,not-working,medium-paid,3,Good,Long-term
early30s,very-high,very-high,three-to-five,Islam,not-working,medium-paid,3,Good,Long-term
mid30s,high,high,six-to-eight,Islam,not-working,medium-paid,3,Good,Long-term
mid40s,high,high,six-to-eight,Islam,not-working,medium-paid,3,Good,Long-term
early40s,medium,very-high,above-ten,Islam,not-working,medium-paid,3,Good,Long-term
early20s,high,low,one-to-two,Islam,working,high-paid,3,Good,Long-term
late20s,very-high,very-high,one-to-two,Islam,working,high-paid,3,Good,Long-term
late20s,medium,low,one-to-two,Islam,working,high-paid,3,Good,Long-term
early30s,high,high,one-to-two,Islam,working,high-paid,3,Good,Long-term
late30s,very-high,very-high,one-to-two,Islam,working,high-paid,3,Good,Long-term
late20s,very-high,very-high,three-to-five,Islam,working,high-paid,3,Good,Long-term
early30s,high,high,three-to-five,Islam,working,high-paid,3,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,working,high-paid,3,Good,Long-term
early30s,high,high,six-to-eight,Islam,working,high-paid,3,Good,Long-term
late30s,very-high,very-high,six-to-eight,Islam,working,high-paid,3,Good,Long-term
late20s,high,very-high,one-to-two,Non-Islam,not-working,high-paid,3,Good,Long-term
early30s,very-high,very-high,three-to-five,Non-Islam,not-working,high-paid,3,Good,Long-term
mid30s,very-high,very-high,three-to-five,Non-Islam,not-working,high-paid,3,Good,Long-term
early30s,high,very-high,three-to-five,Non-Islam,not-working,high-paid,3,Good,Long-term
early20s,very-high,very-high,one-to-two,Islam,not-working,high-paid,3,Good,Long-term
early20s,high,high,one-to-two,Islam,not-working,high-paid,3,Good,Long-term
late20s,medium,high,one-to-two,Islam,not-working,high-paid,3,Good,Long-term
mid30s,medium,high,one-to-two,Islam,not-working,high-paid,3,Good,Long-term
mid20s,high,very-high,one-to-two,Islam,not-working,high-paid,3,Good,Long-term
mid20s,medium,very-high,one-to-two,Islam,not-working,high-paid,3,Good,Long-term
early20s,very-high,high,three-to-five,Islam,not-working,high-paid,3,Good,Long-term
early30s,very-high,very-high,three-to-five,Islam,not-working,high-paid,3,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,not-working,high-paid,3,Good,Long-term
early30s,very-high,low,three-to-five,Islam,not-working,high-paid,3,Good,Long-term
mid30s,high,very-high,three-to-five,Islam,not-working,high-paid,3,Good,Long-term
mid40s,medium,very-high,three-to-five,Islam,not-working,high-paid,3,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,not-working,high-paid,3,Good,Long-term
early30s,very-high,very-high,three-to-five,Islam,not-working,high-paid,3,Good,Long-term
late30s,very-high,very-high,six-to-eight,Islam,not-working,high-paid,3,Good,Long-term
mid40s,medium,medium,nine-to-ten,Islam,not-working,high-paid,3,Good,Long-term
late40s,low,low,nine-to-ten,Islam,not-working,high-paid,3,Good,Long-term
late20s,very-high,very-high,one-to-two,Non-Islam,working,low-paid,4,Good,Long-term
early30s,very-high,very-high,one-to-two,Non-Islam,working,low-paid,4,Good,Long-term
early30s,very-high,very-high,one-to-two,Non-Islam,working,low-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Non-Islam,working,low-paid,4,Good,Long-term
mid40s,very-high,very-high,three-to-five,Non-Islam,working,low-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Non-Islam,working,low-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Non-Islam,working,low-paid,4,Good,Long-term
early40s,very-high,very-high,six-to-eight,Non-Islam,working,low-paid,4,Good,Long-term
mid20s,very-high,very-high,one-to-two,Islam,working,low-paid,4,Good,Long-term
mid20s,very-high,very-high,one-to-two,Islam,working,low-paid,4,Good,Long-term
mid20s,very-high,very-high,one-to-two,Islam,working,low-paid,4,Good,Long-term
mid40s,very-high,very-high,one-to-two,Islam,working,low-paid,4,Good,Long-term
mid30s,very-high,very-high,one-to-two,Islam,working,low-paid,4,Good,Long-term
early30s,very-high,very-high,one-to-two,Islam,working,low-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,working,low-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Islam,working,low-paid,4,Good,Long-term
mid40s,very-high,very-high,three-to-five,Islam,working,low-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,working,low-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Islam,working,low-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,working,low-paid,4,Good,Long-term
late40s,very-high,very-high,three-to-five,Islam,working,low-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Islam,working,low-paid,4,Good,Long-term
mid40s,very-high,very-high,three-to-five,Islam,working,low-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,working,low-paid,4,Good,Long-term
late40s,very-high,very-high,six-to-eight,Islam,working,low-paid,4,Good,Long-term
early40s,very-high,high,six-to-eight,Islam,working,low-paid,4,Good,Long-term
late40s,very-high,very-high,six-to-eight,Islam,working,low-paid,4,Good,Long-term
early20s,very-high,very-high,one-to-two,Non-Islam,not-working,low-paid,4,Good,Long-term
mid20s,very-high,very-high,one-to-two,Non-Islam,not-working,low-paid,4,Good,Long-term
late20s,very-high,very-high,one-to-two,Non-Islam,not-working,low-paid,4,Good,Long-term
mid30s,high,very-high,three-to-five,Non-Islam,not-working,low-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Non-Islam,not-working,low-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Non-Islam,not-working,low-paid,4,Good,Long-term
late40s,very-high,very-high,three-to-five,Non-Islam,not-working,low-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Non-Islam,not-working,low-paid,4,Good,Long-term
late40s,very-high,very-high,three-to-five,Non-Islam,not-working,low-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Non-Islam,not-working,low-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Non-Islam,not-working,low-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Non-Islam,not-working,low-paid,4,Good,Long-term
early40s,very-high,very-high,six-to-eight,Non-Islam,not-working,low-paid,4,Good,Long-term
late40s,very-high,very-high,six-to-eight,Non-Islam,not-working,low-paid,4,Good,Long-term
early40s,very-high,very-high,six-to-eight,Non-Islam,not-working,low-paid,4,Good,Long-term
early30s,very-high,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
early20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
mid20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
mid20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
mid20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
early20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
late20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
early30s,high,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
late20s,high,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
early30s,high,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
mid20s,medium,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
early30s,very-high,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
mid30s,very-high,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
late30s,very-high,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
late20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,4,Good,Long-term
late20s,high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
early20s,high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid20s,high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
early30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
late20s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
early30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
late20s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
early40s,low,high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
early30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
early40s,high,high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid40s,very-high,high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,4,Good,Long-term
early40s,very-high,very-high,six-to-eight,Islam,not-working,low-paid,4,Good,Long-term
late30s,very-high,very-high,six-to-eight,Islam,not-working,low-paid,4,Good,Long-term
early40s,very-high,very-high,six-to-eight,Islam,not-working,low-paid,4,Good,Long-term
mid40s,very-high,very-high,six-to-eight,Islam,not-working,low-paid,4,Good,Long-term
late30s,very-high,very-high,six-to-eight,Islam,not-working,low-paid,4,Good,Long-term
late30s,very-high,high,six-to-eight,Islam,not-working,low-paid,4,Good,Long-term
early40s,medium,very-high,six-to-eight,Islam,not-working,low-paid,4,Good,Long-term
late40s,very-high,very-high,six-to-eight,Islam,not-working,low-paid,4,Good,Long-term
early40s,very-high,very-high,six-to-eight,Islam,not-working,low-paid,4,Good,Long-term
late40s,very-high,very-high,nine-to-ten,Islam,not-working,low-paid,4,Good,Long-term
late40s,high,high,above-ten,Islam,not-working,low-paid,4,Good,Long-term
late20s,high,high,one-to-two,Non-Islam,working,medium-paid,4,Good,Long-term
early30s,very-high,very-high,one-to-two,Non-Islam,working,medium-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Non-Islam,working,medium-paid,4,Good,Long-term
mid30s,high,very-high,three-to-five,Non-Islam,working,medium-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Non-Islam,working,medium-paid,4,Good,Long-term
early30s,very-high,very-high,three-to-five,Non-Islam,working,medium-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Non-Islam,working,medium-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Non-Islam,working,medium-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Non-Islam,working,medium-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Non-Islam,working,medium-paid,4,Good,Long-term
late20s,very-high,very-high,one-to-two,Islam,working,medium-paid,4,Good,Long-term
early40s,high,very-high,one-to-two,Islam,working,medium-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,working,medium-paid,4,Good,Long-term
late40s,very-high,high,six-to-eight,Islam,working,medium-paid,4,Good,Long-term
mid40s,medium,high,one-to-two,Non-Islam,not-working,medium-paid,4,Good,Long-term
mid20s,very-high,very-high,one-to-two,Non-Islam,not-working,medium-paid,4,Good,Long-term
early30s,very-high,very-high,one-to-two,Non-Islam,not-working,medium-paid,4,Good,Long-term
early30s,high,very-high,three-to-five,Non-Islam,not-working,medium-paid,4,Good,Long-term
early40s,high,very-high,three-to-five,Non-Islam,not-working,medium-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Non-Islam,not-working,medium-paid,4,Good,Long-term
mid40s,very-high,very-high,three-to-five,Non-Islam,not-working,medium-paid,4,Good,Long-term
early30s,very-high,very-high,three-to-five,Non-Islam,not-working,medium-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Non-Islam,not-working,medium-paid,4,Good,Long-term
early30s,very-high,very-high,three-to-five,Non-Islam,not-working,medium-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Non-Islam,not-working,medium-paid,4,Good,Long-term
late40s,very-high,very-high,three-to-five,Non-Islam,not-working,medium-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Non-Islam,not-working,medium-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Non-Islam,not-working,medium-paid,4,Good,Long-term
mid40s,high,high,six-to-eight,Non-Islam,not-working,medium-paid,4,Good,Long-term
late40s,very-high,very-high,six-to-eight,Non-Islam,not-working,medium-paid,4,Good,Long-term
early20s,high,very-high,one-to-two,Islam,not-working,medium-paid,4,Good,Long-term
mid20s,very-high,very-high,one-to-two,Islam,not-working,medium-paid,4,Good,Long-term
below20,very-high,very-high,one-to-two,Islam,not-working,medium-paid,4,Good,Long-term
mid30s,very-high,very-high,one-to-two,Islam,not-working,medium-paid,4,Good,Long-term
mid20s,very-high,very-high,one-to-two,Islam,not-working,medium-paid,4,Good,Long-term
mid20s,very-high,very-high,one-to-two,Islam,not-working,medium-paid,4,Good,Long-term
early40s,high,high,three-to-five,Islam,not-working,medium-paid,4,Good,Long-term
early30s,very-high,very-high,three-to-five,Islam,not-working,medium-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,not-working,medium-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,not-working,medium-paid,4,Good,Long-term
late20s,high,medium,three-to-five,Islam,not-working,medium-paid,4,Good,Long-term
early30s,very-high,high,three-to-five,Islam,not-working,medium-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,not-working,medium-paid,4,Good,Long-term
early30s,very-high,very-high,three-to-five,Islam,not-working,medium-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,not-working,medium-paid,4,Good,Long-term
late40s,medium,medium,six-to-eight,Islam,not-working,medium-paid,4,Good,Long-term
early30s,high,very-high,six-to-eight,Islam,not-working,medium-paid,4,Good,Long-term
mid40s,very-high,very-high,six-to-eight,Islam,not-working,medium-paid,4,Good,Long-term
early40s,very-high,very-high,six-to-eight,Islam,not-working,medium-paid,4,Good,Long-term
mid30s,high,very-high,three-to-five,Non-Islam,working,high-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Non-Islam,working,high-paid,4,Good,Long-term
late20s,high,high,one-to-two,Islam,working,high-paid,4,Good,Long-term
early30s,medium,very-high,one-to-two,Islam,working,high-paid,4,Good,Long-term
early20s,very-high,very-high,one-to-two,Islam,working,high-paid,4,Good,Long-term
mid20s,high,low,one-to-two,Islam,working,high-paid,4,Good,Long-term
early30s,high,high,one-to-two,Islam,working,high-paid,4,Good,Long-term
early20s,high,high,one-to-two,Islam,working,high-paid,4,Good,Long-term
early30s,very-high,very-high,one-to-two,Islam,working,high-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,working,high-paid,4,Good,Long-term
early30s,medium,medium,six-to-eight,Islam,working,high-paid,4,Good,Long-term
early40s,high,very-high,one-to-two,Non-Islam,not-working,high-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Non-Islam,not-working,high-paid,4,Good,Long-term
early40s,high,high,three-to-five,Non-Islam,not-working,high-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Non-Islam,not-working,high-paid,4,Good,Long-term
below20,high,very-high,one-to-two,Islam,not-working,high-paid,4,Good,Long-term
early20s,very-high,very-high,one-to-two,Islam,not-working,high-paid,4,Good,Long-term
mid20s,very-high,very-high,one-to-two,Islam,not-working,high-paid,4,Good,Long-term
mid20s,low,low,one-to-two,Islam,not-working,high-paid,4,Good,Long-term
late20s,high,high,one-to-two,Islam,not-working,high-paid,4,Good,Long-term
late20s,very-high,very-high,one-to-two,Islam,not-working,high-paid,4,Good,Long-term
mid20s,high,very-high,three-to-five,Islam,not-working,high-paid,4,Good,Long-term
early30s,medium,very-high,three-to-five,Islam,not-working,high-paid,4,Good,Long-term
early30s,very-high,very-high,three-to-five,Islam,not-working,high-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,not-working,high-paid,4,Good,Long-term
mid20s,medium,medium,three-to-five,Islam,not-working,high-paid,4,Good,Long-term
late40s,high,very-high,three-to-five,Islam,not-working,high-paid,4,Good,Long-term
early40s,very-high,very-high,three-to-five,Islam,not-working,high-paid,4,Good,Long-term
mid30s,low,medium,three-to-five,Islam,not-working,high-paid,4,Good,Long-term
early30s,high,high,three-to-five,Islam,not-working,high-paid,4,Good,Long-term
late30s,high,very-high,three-to-five,Islam,not-working,high-paid,4,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,not-working,high-paid,4,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,not-working,high-paid,4,Good,Long-term
mid30s,medium,medium,six-to-eight,Islam,not-working,high-paid,4,Good,Long-term
early30s,high,high,six-to-eight,Islam,not-working,high-paid,4,Good,Long-term
mid30s,high,high,six-to-eight,Islam,not-working,high-paid,4,Good,Long-term
mid20s,medium,very-high,six-to-eight,Islam,not-working,high-paid,4,Good,Long-term
mid30s,very-high,very-high,six-to-eight,Islam,not-working,high-paid,4,Good,Long-term
early30s,medium,medium,six-to-eight,Islam,not-working,high-paid,4,Good,Long-term
mid40s,high,high,six-to-eight,Islam,not-working,high-paid,4,Good,Long-term
early40s,medium,high,six-to-eight,Islam,not-working,high-paid,4,Good,Long-term
late30s,medium,high,six-to-eight,Islam,not-working,high-paid,4,Good,Long-term
early30s,very-high,very-high,three-to-five,Non-Islam,working,very-high-paid,4,Good,Long-term
mid20s,medium,high,one-to-two,Islam,working,very-high-paid,4,Good,Long-term
early20s,high,very-high,one-to-two,Islam,not-working,very-high-paid,4,Good,Long-term
early30s,medium,high,three-to-five,Islam,not-working,high-paid,1,Not-Good,Long-term
mid20s,high,very-high,three-to-five,Islam,not-working,low-paid,2,Not-Good,Long-term
early40s,high,very-high,three-to-five,Islam,not-working,high-paid,2,Not-Good,Long-term
mid20s,low,very-high,one-to-two,Islam,working,very-high-paid,2,Not-Good,Long-term
mid30s,high,very-high,three-to-five,Islam,working,low-paid,3,Not-Good,Long-term
mid30s,low,high,six-to-eight,Islam,working,medium-paid,3,Not-Good,Long-term
early30s,medium,medium,three-to-five,Islam,not-working,very-high-paid,3,Not-Good,Long-term
mid20s,medium,very-high,three-to-five,Islam,not-working,low-paid,4,Not-Good,Long-term
mid30s,medium,very-high,three-to-five,Non-Islam,working,high-paid,4,Not-Good,Long-term
late40s,low,low,six-to-eight,Islam,not-working,high-paid,4,Not-Good,Long-term
late40s,low,low,six-to-eight,Islam,not-working,low-paid,1,Not-Good,No-use
early20s,very-high,very-high,none,Islam,not-working,medium-paid,1,Not-Good,No-use
early20s,low,low,three-to-five,Islam,not-working,medium-paid,1,Not-Good,No-use
