age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
mid70, ?, 7th-8th, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
late60, ?, Masters, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
late80, ?, HS-grad, Widowed, ?, Not-in-family, White, Male,none,none,below5, United-States
late70, ?, Assoc-acdm, Married-civ-spouse, ?, Wife, White, Female,none,none,below5, United-States
early20, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,none,none,below5, United-States
early30, ?, HS-grad, Married-civ-spouse, ?, Wife, White, Female,none,none,below5, United-States
late60, ?, 9th, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
mid60, ?, Masters, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
early80, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,none,none,below5, United-States
late40, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,none,none,below5, United-States
early50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below5, United-States
early70, Self-emp-not-inc, Prof-school, Married-civ-spouse, Farming-fishing, Husband, White, Male,none,none,below5, United-States
early70, ?, HS-grad, Married-civ-spouse, ?, Wife, White, Female,none,none,below5, United-States
late20, Private, Bachelors, Never-married, Sales, Own-child, White, Male,none,none,below5, United-States
mid20, Local-gov, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Female,none,none,below5, United-States
early60, ?, Assoc-acdm, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
early40, Self-emp-not-inc, Assoc-acdm, Never-married, Prof-specialty, Own-child, Black, Female,none,none,below5, United-States
early30, ?, Assoc-voc, Never-married, ?, Unmarried, White, Female,none,none,below5, United-States
mid70, ?, HS-grad, Widowed, ?, Not-in-family, Black, Female,none,none,below5, United-States
late60, ?, 10th, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
early20, ?, Some-college, Never-married, ?, Own-child, White, Male,none,none,below5, United-States
late60, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,none,none,below5, United-States
mid30, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,none,none,below5, Taiwan
under20, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,none,none,below5, United-States
early60, ?, Masters, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
early30, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female,none,none,below5, United-States
mid70, ?, 7th-8th, Widowed, ?, Not-in-family, White, Male,none,none,below5, United-States
late60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,none,none,below5, United-States
early60, ?, Masters, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
late30, ?, Masters, Married-civ-spouse, ?, Wife, Black, Female,below20000,none,below5, United-States
late60, Self-emp-not-inc, Masters, Widowed, Prof-specialty, Not-in-family, White, Male,below20000,none,below5, United-States
early70, Self-emp-not-inc, Some-college, Separated, Sales, Unmarried, Black, Male,none,below2000,below5, United-States
late60, ?, 7th-8th, Divorced, ?, Not-in-family, White, Male,none,none,below5, United-States
early80, ?, Some-college, Widowed, ?, Not-in-family, Amer-Indian-Eskimo, Male,none,none,below5, United-States
late70, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below5, United-States
late70, ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
early60, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,none,none,below5, United-States
mid70, ?, Some-college, Widowed, ?, Not-in-family, White, Female,none,none,below5, United-States
mid80, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,none,none,below5, Poland
early20, ?, Some-college, Never-married, ?, Own-child, White, Female,none,none,below5, United-States
under20, Private, 11th, Never-married, Prof-specialty, Other-relative, White, Male,none,none,below5, United-States
mid60, Private, HS-grad, Never-married, Other-service, Other-relative, Black, Female,none,none,below5, United-States
late60, ?, HS-grad, Widowed, ?, Unmarried, White, Male,none,none,below5, United-States
under20, Private, 10th, Never-married, Other-service, Own-child, White, Female,none,none,below5, United-States
mid40, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,none,none,below5, United-States
early30, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,none,none,below5, United-States
early20, ?, Some-college, Never-married, ?, Own-child, White, Female,none,none,below5, United-States
late20, ?, Assoc-acdm, Married-AF-spouse, ?, Wife, White, Female,none,none,below5, United-States
under20, Private, HS-grad, Never-married, Sales, Own-child, White, Male,none,none,below5, United-States
mid40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,none,none,below5, United-States
early70, ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
early70, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,none,none,below5, United-States
early70, ?, Assoc-acdm, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
early20, Private, HS-grad, Married-spouse-absent, Other-service, Own-child, White, Female,none,none,below5, United-States
early70, ?, Some-college, Married-spouse-absent, ?, Not-in-family, White, Male,none,none,below5, United-States
early60, Self-emp-not-inc, 5th-6th, Never-married, Sales, Not-in-family, White, Female,none,none,below5, United-States
under20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,none,none,below5, United-States
mid60, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,none,none,below5, United-States
early60, ?, Masters, Never-married, ?, Not-in-family, White, Female,none,none,below5, United-States
early20, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,none,none,below5, United-States
early70, ?, 11th, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
mid30, Private, Assoc-voc, Never-married, Tech-support, Not-in-family, White, Female,none,none,below5, United-States
mid60, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Female,none,none,below5, United-States
late60, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,none,none,below5, United-States
early80, ?, HS-grad, Never-married, ?, Not-in-family, White, Male,none,none,below5, United-States
mid20, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,none,none,below5, El-Salvador
mid70, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,below5000,none,below5, United-States
under20, Private, HS-grad, Never-married, Protective-serv, Own-child, White, Male,below50000,none,below5, United-States
late60, ?, 11th, Married-civ-spouse, ?, Husband, White, Male,none,below1000,below5, United-States
late50, Private, 7th-8th, Widowed, Sales, Other-relative, White, Female,none,below2000,below5, United-States
early80, Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, Not-in-family, White, Female,none,below2000,below5, Hungary
under20, Private, Some-college, Never-married, Other-service, Own-child, White, Female,none,none,below5, United-States
early20, ?, Some-college, Never-married, ?, Own-child, Asian-Pac-Islander, Female,none,none,below5, South
late50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below5, United-States
mid60, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male,none,none,below5, United-States
mid60, ?, Some-college, Widowed, ?, Not-in-family, White, Male,none,none,below5, United-States
late60, ?, 7th-8th, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
late40, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,none,none,below5, United-States
early30, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below5, United-States
under20, Self-emp-not-inc, 11th, Never-married, Other-service, Own-child, White, Female,none,none,below5, United-States
late70, ?, Assoc-acdm, Widowed, ?, Not-in-family, White, Female,none,none,below5, United-States
early70, ?, Some-college, Widowed, ?, Unmarried, Asian-Pac-Islander, Female,none,none,below5, United-States
early20, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,none,none,below5, United-States
early40, ?, HS-grad, Never-married, ?, Not-in-family, White, Female,none,none,below5, United-States
mid50, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,none,none,below5, United-States
late30, Self-emp-not-inc, HS-grad, Never-married, Sales, Other-relative, White, Female,none,none,below5, United-States
early70, ?, HS-grad, Widowed, ?, Unmarried, White, Female,none,none,below5, United-States
early80, ?, Some-college, Widowed, ?, Unmarried, White, Female,none,none,below5, United-States
mid70, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,none,none,below5, United-States
mid40, ?, HS-grad, Separated, ?, Not-in-family, Asian-Pac-Islander, Male,none,none,below5, United-States
late60, Private, 1st-4th, Widowed, Priv-house-serv, Not-in-family, Black, Female,none,none,below5, United-States
early60, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below5, ?
early60, ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
early70, ?, 10th, Never-married, ?, Not-in-family, White, Male,none,none,below5, United-States
under20, ?, Some-college, Never-married, ?, Own-child, White, Female,none,none,below5, United-States
under18, Self-emp-inc, 10th, Never-married, Other-service, Own-child, White, Male,none,none,below5, United-States
early70, ?, Some-college, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
mid60, ?, 7th-8th, Never-married, ?, Not-in-family, White, Male,none,none,below5, United-States
under20, Never-worked, Some-college, Never-married, ?, Own-child, White, Male,none,none,below5, United-States
early60, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,none,none,below5, United-States
early60, ?, HS-grad, Widowed, ?, Not-in-family, White, Female,none,none,below5, United-States
early30, ?, Bachelors, Married-civ-spouse, ?, Wife, White, Female,none,none,below5, United-States
early20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,none,none,below5, United-States
mid60, ?, 7th-8th, Widowed, ?, Not-in-family, White, Female,none,none,below5, United-States
early40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,none,none,below5, United-States
early60, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
mid30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,none,none,below5, United-States
mid20, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,none,none,below5, Mexico
under20, Federal-gov, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,none,none,below5, United-States
early40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below5, Peru
mid30, ?, HS-grad, Widowed, ?, Not-in-family, White, Female,none,none,below5, United-States
mid30, ?, Some-college, Married-civ-spouse, ?, Wife, White, Female,none,none,below5, United-States
mid30, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,none,none,below5, United-States
early80, ?, Assoc-acdm, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
late20, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,none,none,below5, United-States
under18, ?, 10th, Never-married, ?, Own-child, White, Female,none,none,below5, United-States
late40, Private, HS-grad, Divorced, Priv-house-serv, Not-in-family, White, Female,none,none,below5, United-States
mid20, ?, HS-grad, Married-civ-spouse, ?, Wife, White, Female,none,none,below5, United-States
mid30, ?, HS-grad, Never-married, ?, Not-in-family, White, Female,none,none,below5, United-States
early90, ?, HS-grad, Widowed, ?, Not-in-family, White, Male,below1000,none,below5, United-States
under20, Self-emp-not-inc, 11th, Never-married, Other-service, Own-child, White, Female,below1000,none,below5, United-States
early20, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,below1000,none,below5, United-States
early20, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,below3000,none,below5, United-States
late60, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Wife, White, Female,below30000,none,below5, United-States
mid60, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,none,below2000,below5, Greece
early80, ?, 7th-8th, Widowed, ?, Not-in-family, White, Male,none,none,below10, United-States
mid60, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,none,none,below10, United-States
under20, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,none,none,below10, United-States
late60, ?, HS-grad, Married-civ-spouse, ?, Wife, White, Female,none,none,below10, United-States
under20, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,none,none,below10, United-States
under18, Private, 11th, Never-married, Other-service, Own-child, White, Male,none,none,below10, United-States
mid20, Private, 1st-4th, Married-civ-spouse, Other-service, Own-child, Asian-Pac-Islander, Female,none,none,below10, Vietnam
under20, State-gov, 11th, Never-married, Adm-clerical, Own-child, White, Female,none,none,below10, United-States
late20, Self-emp-not-inc, 11th, Married-civ-spouse, Other-service, Wife, White, Female,none,none,below10, United-States
early30, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,none,none,below10, United-States
early70, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,none,none,below10, United-States
late20, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Wife, White, Female,none,none,below10, United-States
mid60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,none,none,below10, United-States
early30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,none,none,below10, ?
early60, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,none,none,below10, United-States
early70, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,none,none,below10, United-States
early60, ?, Some-college, Divorced, ?, Not-in-family, White, Female,none,none,below10, United-States
early70, ?, Bachelors, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,none,none,below10, Vietnam
early20, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Female,none,none,below10, United-States
mid60, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,none,none,below10, United-States
late50, ?, HS-grad, Married-civ-spouse, ?, Husband, Other, Male,none,none,below10, Columbia
early70, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,none,none,below10, United-States
early80, ?, Bachelors, Widowed, ?, Not-in-family, White, Male,none,none,below10, United-States
early60, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,none,none,below10, United-States
mid60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,none,none,below10, United-States
early60, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,none,none,below10, United-States
early30, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,none,none,below10, United-States
early20, ?, HS-grad, Never-married, ?, Own-child, White, Female,none,none,below10, United-States
early20, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,none,none,below10, United-States
mid60, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,none,none,below10, United-States
early60, ?, Doctorate, Widowed, ?, Not-in-family, White, Female,none,none,below10, United-States
under18, Private, 10th, Never-married, Sales, Own-child, White, Male,none,none,below10, United-States
mid20, Private, Assoc-voc, Never-married, Sales, Unmarried, White, Male,none,none,below10, United-States
late20, Local-gov, Assoc-acdm, Never-married, Craft-repair, Own-child, White, Male,none,none,below10, United-States
early70, Self-emp-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,none,none,below10, United-States
under18, Private, 10th, Never-married, Sales, Own-child, White, Female,none,none,below10, United-States
early40, ?, 9th, Divorced, ?, Unmarried, White, Female,none,none,below10, Cuba
mid50, ?, Assoc-acdm, Married-spouse-absent, ?, Not-in-family, White, Female,none,none,below10, United-States
early20, ?, Some-college, Never-married, ?, Own-child, White, Female,none,none,below10, United-States
early50, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,none,none,below10, United-States
under18, Private, 11th, Never-married, Other-service, Own-child, White, Female,none,none,below10, United-States
late30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,none,none,below10, United-States
late20, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Female,none,none,below10, United-States
early60, ?, Bachelors, Divorced, ?, Not-in-family, White, Male,none,none,below10, United-States
under18, ?, 11th, Never-married, ?, Own-child, White, Female,none,none,below10, United-States
late60, ?, Prof-school, Divorced, ?, Not-in-family, White, Male,none,none,below10, United-States
mid60, State-gov, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,none,none,below10, United-States
mid40, Private, HS-grad, Never-married, Handlers-cleaners, Other-relative, White, Male,none,none,below10, United-States
under18, Private, 11th, Never-married, Sales, Own-child, White, Male,none,none,below10, United-States
early20, ?, Some-college, Never-married, ?, Own-child, White, Female,none,none,below10, United-States
mid60, Private, Bachelors, Divorced, Sales, Not-in-family, White, Female,none,none,below10, United-States
mid40, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,none,none,below10, United-States
early40, Self-emp-not-inc, Masters, Divorced, Sales, Unmarried, White, Male,none,none,below10, United-States
mid70, ?, 9th, Married-civ-spouse, ?, Husband, Black, Male,below2000,none,below10, United-States
early80, Private, 9th, Widowed, Priv-house-serv, Not-in-family, Black, Female,below3000,none,below10, United-States
early60, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,below3000,none,below10, United-States
late60, ?, Doctorate, Married-civ-spouse, ?, Husband, White, Male,below30000,none,below10, United-States
early50, Self-emp-not-inc, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female,none,below2000,below10, United-States
early40, ?, Assoc-voc, Married-civ-spouse, ?, Wife, White, Female,none,below2000,below10, ?
late60, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,none,below3000,below10, United-States
early20, ?, Some-college, Married-civ-spouse, ?, Husband, White, Male,none,none,below10, United-States
late40, Private, Masters, Divorced, Sales, Not-in-family, White, Female,none,none,below10, United-States
early60, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,none,none,below10, United-States
under20, Private, 10th, Never-married, Other-service, Own-child, White, Male,none,none,below10, United-States
under18, Private, 10th, Never-married, Other-service, Own-child, White, Female,none,none,below10, United-States
under18, Private, 12th, Never-married, Other-service, Own-child, White, Female,none,none,below10, United-States
late70, Federal-gov, Doctorate, Widowed, Exec-managerial, Not-in-family, White, Male,none,none,below10, United-States
mid60, ?, Some-college, Widowed, ?, Not-in-family, Asian-Pac-Islander, Female,none,none,below10, United-States
early60, Private, HS-grad, Widowed, Farming-fishing, Not-in-family, White, Male,none,none,below10, United-States
early20, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,none,none,below10, United-States
under18, ?, 10th, Never-married, ?, Other-relative, White, Male,none,none,below10, United-States
mid30, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,none,none,below10, United-States
early20, ?, Some-college, Never-married, ?, Own-child, White, Female,none,none,below10, United-States
early20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,none,none,below10, United-States
under20, ?, Some-college, Never-married, ?, Own-child, White, Female,none,none,below10, United-States
mid60, ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male,none,none,below10, United-States
early50, ?, HS-grad, Separated, ?, Not-in-family, Black, Male,none,none,below10, United-States
late60, ?, Some-college, Married-civ-spouse, ?, Husband, White, Male,none,none,below10, United-States
late20, Private, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Female,none,none,below10, United-States
mid70, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,none,none,below10, United-States
late70, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,none,none,below10, United-States
late30, ?, Prof-school, Married-civ-spouse, ?, Husband, White, Male,none,none,below10, Mexico
under20, Local-gov, 10th, Never-married, Protective-serv, Own-child, White, Female,none,none,below10, United-States
under20, Private, 11th, Never-married, Other-service, Own-child, White, Female,none,none,below10, United-States
early60, Self-emp-not-inc, HS-grad, Never-married, Other-service, Unmarried, White, Female,none,none,below10, United-States
under18, Private, 12th, Never-married, Sales, Own-child, White, Female,none,none,below10, United-States
early20, State-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Female,none,none,below10, United-States
mid60, ?, Masters, Widowed, ?, Not-in-family, White, Male,none,none,below10, United-States
mid70, ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male,none,none,below10, United-States
early70, ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male,none,none,below10, United-States
late70, ?, Some-college, Married-civ-spouse, ?, Husband, White, Male,none,none,below10, United-States
late60, ?, Assoc-acdm, Widowed, ?, Not-in-family, White, Female,none,none,below10, Italy
mid70, Private, 10th, Widowed, Other-service, Not-in-family, Black, Female,none,none,below10, United-States
late40, ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male,none,none,below10, United-States
early60, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,none,none,below10, United-States
late40, Private, 11th, Married-civ-spouse, Other-service, Wife, White, Female,none,none,below10, United-States
mid50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,none,none,below10, United-States
early40, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, Other, Female,none,none,below10, Puerto-Rico
early70, Local-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Male,none,none,below10, United-States
under20, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Male,none,none,below10, United-States
mid20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,none,none,below10, United-States
under18, Private, 9th, Never-married, Other-service, Not-in-family, White, Male,none,none,below10, United-States
mid70, ?, Bachelors, Widowed, ?, Not-in-family, White, Female,none,none,below10, United-States
early70, Private, 9th, Divorced, Priv-house-serv, Not-in-family, Black, Female,none,none,below10, United-States
early20, Private, Some-college, Never-married, Sales, Own-child, White, Female,none,none,below10, United-States
late30, Private, Assoc-voc, Never-married, Sales, Unmarried, Black, Female,none,none,below10, United-States
early70, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,none,none,below10, United-States
late20, ?, Bachelors, Married-civ-spouse, ?, Not-in-family, Other, Female,none,none,below10, Mexico
early70, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,none,none,below10, United-States
early30, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,none,none,below10, South
late70, Private, HS-grad, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,none,none,below10, United-States
late30, ?, Bachelors, Married-civ-spouse, ?, Wife, White, Female,none,none,below10, United-States
early20, Private, Some-college, Never-married, Priv-house-serv, Not-in-family, White, Female,none,none,below10, United-States
early70, Local-gov, Bachelors, Widowed, Prof-specialty, Unmarried, White, Female,none,none,below10, United-States
early60, ?, HS-grad, Married-civ-spouse, ?, Husband, Black, Male,none,none,below10, United-States
early40, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,none,none,below10, Iran
late60, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,below2000,none,below10, United-States
early70, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,below2000,none,below10, United-States
late60, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female,below3000,none,below10, Germany
mid70, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,below7500,none,below10, United-States
mid30, ?, Some-college, Married-civ-spouse, ?, Wife, White, Female,below10000,none,below10, United-States
late70, ?, Masters, Married-civ-spouse, ?, Husband, White, Male,below10000,none,below10, United-States
early70, ?, Doctorate, Married-civ-spouse, ?, Husband, White, Male,none,below3000,below10, United-States
mid40, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,none,below3000,below10, United-States
mid40, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,none,none,below10, United-States
early50, Private, 7th-8th, Never-married, Other-service, Own-child, White, Female,none,none,below10, United-States
early60, ?, Bachelors, Never-married, ?, Not-in-family, White, Male,none,none,below10, United-States
late70, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,none,none,below10, United-States
early40, ?, Bachelors, Married-civ-spouse, ?, Wife, White, Female,none,none,below10, United-States
early20, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,none,none,below10, United-States
early40, Self-emp-not-inc, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Male,none,none,below10, ?
under18, Private, 12th, Never-married, Prof-specialty, Own-child, White, Male,none,none,below10, United-States
early60, Private, Bachelors, Widowed, Tech-support, Unmarried, White, Female,none,none,below10, United-States
early70, ?, Bachelors, Divorced, ?, Not-in-family, White, Female,none,none,below10, United-States
late20, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,none,none,below10, United-States
under20, ?, 11th, Never-married, ?, Other-relative, White, Male,none,none,below10, United-States
early20, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Black, Female,none,none,below10, United-States
early30, Self-emp-not-inc, 11th, Divorced, Handlers-cleaners, Not-in-family, White, Male,none,none,below10, United-States
early40, Local-gov, Some-college, Never-married, Prof-specialty, Other-relative, White, Male,none,none,below10, United-States
late40, Local-gov, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,none,none,below10, United-States
mid40, Private, Bachelors, Separated, Machine-op-inspct, Unmarried, Black, Female,none,none,below10, United-States
late60, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female,none,none,below10, England
under18, Private, 11th, Never-married, Other-service, Own-child, White, Female,none,none,below10, United-States
late60, ?, HS-grad, Divorced, ?, Not-in-family, White, Female,none,none,below10, United-States
early20, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,none,none,below10, United-States
mid60, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,none,none,below10, United-States
